"State","Tax_Store","Tax_Automat"
"AK",0,0
"AL",4,4
"AR",2,2
"AZ",0,0
"CA",0,7.25
"CO",0,0
"CT",0,0
"DC",0,6
"DE",0,0
"FL",0,6
"GA",0,4
"HI",4,4
"IA",0,6
"ID",6,6
"IL",1,1
"IN",0,7
"KS",6.3,6.3
"KY",0,6
"LA",0,0
"MA",0,0
"MD",0,0
"ME",0,5
"MI",0,0
"MN",0,6.875
"MO",1.225,1.225
"MS",7,8
"MT",0,0
"NC",0,5.75
"ND",0,0
"NE",0,5.5
"NH",0,0
"NJ",0,7
"NM",0,5.125
"NV",0,0
"NY",0,4
"OH",0,0
"OK",4.5,4.5
"OR",0,0
"PA",0,0
"PR",NA,NA
"RI",0,0
"SC",0,6
"SD",4,4
"TN",5.5,5.5
"TX",0,6.25
"UT",1.75,1.75
"VA",1.5,4
"VT",0,0
"WA",0,6.5
"WI",0,0
"WV",3,6
"WY",0,4
