"State_Abb","State","fastfood_State_2007","fastfood_state_2011","fastfood_State_2007_1k","fastfood_state_2011_1k"
"AL","Alabama",3483,3356,0.744634271904605,0.698767786721746
"AK","Alaska",401,385,0.582742960944596,0.532711237301409
"AZ","Arizona",4046,4107,0.622521204724699,0.633551381757515
"AR","Arkansas",1850,1875,0.645101898203618,0.63819380601427
"CA","California",26138,26047,0.714536219438562,0.691050111758724
"CO","Colorado",3691,3729,0.747890719205027,0.728776367085966
"CT","Connecticut",2111,2127,0.602638018665506,0.594016436409661
"DE","Delaware",585,620,0.667647404563513,0.683470486752248
"DC","District of Columbia",739,771,1.25238529404787,1.2475808904912
"FL","Florida",11002,11471,0.597159837901662,0.601913929928634
"GA","Georgia",6991,7018,0.720882324493356,0.715012720053876
"HI","Hawaii",1297,1255,1.00739350716632,0.912853412471542
"ID","Idaho",967,1021,0.633058069821002,0.644170134102215
"IL","Illinois",9227,9178,0.718448419265537,0.713172485404558
"IN","Indiana",4560,4438,0.713803919002666,0.680996335386552
"IA","Iowa",1955,1888,0.65297544712118,0.616528247149455
"KS","Kansas",1940,1953,0.693507305956477,0.680194396981372
"KY","Kentucky",2941,3005,0.685878574072204,0.687744372397214
"LA","Louisiana",2820,3050,0.633492477726112,0.666690565519726
"ME","Maine",902,906,0.683493332908992,0.682132348733764
"MD","Maryland",4627,4706,0.817685474728535,0.807441086054587
"MA","Massachusetts",4565,4709,0.697628749945557,0.714834803179823
"MI","Michigan",6413,6464,0.641140612443746,0.654503605490661
"MN","Minnesota",3333,3273,0.637215812358392,0.61236391367334
"MS","Mississippi",1962,1935,0.667298820629261,0.649653249676348
"MO","Missouri",4116,4000,0.691028963280272,0.665481222781818
"MT","Montana",715,713,0.738609657708657,0.714286429860178
"NE","Nebraska",1247,1250,0.69979556092795,0.678374137989983
"NV","Nevada",2109,2118,0.8062629311729,0.777726614774162
"NH","New Hampshire",1027,1034,0.776928477189925,0.784406544105041
"NJ","New Jersey",6628,6444,0.765057775251697,0.730516582012219
"NM","New Mexico",1271,1376,0.639734080008536,0.660831879759334
"NY","New York",12713,15666,0.653027418778784,0.804821035204524
"NC","North Carolina",6452,6880,0.697729696574095,0.712480767938283
"ND","North Dakota",431,411,0.671945570849723,0.600936935250873
"OH","Ohio",8966,8807,0.777753643453996,0.762844294445251
"OK","Oklahoma",2480,2535,0.680566132230158,0.668599406885071
"OR","Oregon",2901,2814,0.76685352938984,0.726782664348056
"PA","Pennsylvania",8315,8513,0.661686813564588,0.668059025247499
"RI","Rhode Island",831,772,0.788797743146192,0.734327529102009
"SC","South Carolina",3229,3379,0.717032918228491,0.722127358561131
"SD","South Dakota",533,496,0.662496954751334,0.601881851563315
"TN","Tennessee",4412,4376,0.706999616694677,0.683391966677458
"TX","Texas",16214,17203,0.667125021961143,0.670037536201521
"UT","Utah",1898,2047,0.695915401913144,0.726602305391623
"VT","Vermont",383,354,0.61669852137271,0.565106132997888
"VA","Virginia",5843,6070,0.749542295582639,0.749697033472305
"WA","Washington",4881,4744,0.743366697263341,0.694578858858472
"WV","West Virginia",1272,1262,0.700875488257305,0.680189978893629
"WI","Wisconsin",3319,3357,0.589770790797514,0.587734058479626
"WY","Wyoming",367,389,0.688579893091874,0.684668701311959
"PR","Puerto Rico"
