"State","obesity_State_09","obesity_State_10","obesity_State_12"
"AK",30.8333333333333,29.8833333333333,25.7
"AL",35.1268656716418,35.0820895522388,33
"AR",33.1773333333333,33.616,34.5
"AZ",27.78,27.8066666666667,26
"CA",24.6603448275862,24.2189655172414,25
"CO",20.2246153846154,20.6753846153846,20.5
"CT",23.6375,24.35,25.6
"DC",21.5,21,21.9
"DE",29.7333333333333,30.1333333333333,26.9
"FL",29.5731343283582,29.7776119402985,25.2
"GA",30.8169811320755,31.1635220125786,29.1
"HI",23.56,23.06,23.6
"IA",29.9757575757576,30.5242424242424,30.4
"ID",27.6090909090909,27.6431818181818,26.8
"IL",29.1323529411765,29.8637254901961,28.1
"IN",31.3978260869565,31.6978260869565,31.4
"KS",32.052380952381,32.3676190476191,29.9
"KY",33.7033333333333,33.4975,31.3
"LA",34.3296875,35.5453125,34.7
"MA",23.2428571428571,23.3928571428571,22.9
"MD",29.7041666666667,29.7833333333333,27.6
"ME",28.64375,28.81875,28.4
"MI",31.9204819277108,32.055421686747,31.1
"MN",28.4080459770115,28.4425287356322,25.7
"MO",31.5295652173913,32.0078260869565,29.6
"MS",36.3914634146341,36.6987804878049,34.6
"MT",26.075,26.2071428571429,24.3
"NC",30.74,30.365,29.6
"ND",30.8660377358491,31.3339622641509,29.7
"NE",30.1096774193548,30.5720430107527,28.6
"NH",26.92,27.04,27.3
"NJ",25.6142857142857,25.2619047619048,24.6
"NM",24.9727272727273,25.3969696969697,27.1
"NV",27.3235294117647,27.2235294117647,26.2
"NY",27.5338709677419,27.3967741935484,23.6
"OH",31.5181818181818,31.2897727272727,30.1
"OK",32.6701298701299,33.3883116883117,32.2
"OR",26.8277777777778,27.2722222222222,27.3
"PA",30.1328358208955,30.2820895522388,29.1
"PR",NA,NA,NA
"RI",23.54,23.98,25.7
"SC",34.3695652173913,34.65,31.6
"SD",32.3,32.3863636363636,28.1
"TN",32.7210526315789,32.5705263157895,31.1
"TX",29.5484251968504,29.8141732283465,29.2
"UT",25.7034482758621,25.7965517241379,24.3
"VA",29.8119402985075,30.2044776119403,27.4
"VT",25.2357142857143,25.9214285714286,23.7
"WA",29.2179487179487,29.5871794871795,26.8
"WI",29.7097222222222,29.6805555555556,29.7
"WV",33.5145454545455,33.7018181818182,33.8
"WY",25.5652173913043,25.4434782608696,24.6
